2100501;"ALTO PARNAÍBA";"MA";"Nordeste";" ";-9,10837;-45,92734
4100707;"ALTO PIQUIRI";"PR";"Sul";" ";-24,01901;-53,44125
3102100;"ALTO RIO DOCE";"MG";"Sudeste";" ";-21,02215;-43,41887
3200359;"ALTO RIO NOVO";"ES";"Sudeste";" ";-19,05750;-41,01868
2300705;"ALTO SANTO";"CE";"Nordeste";" ";-5,52208;-38,27278
5100607;"ALTO TAQUARI";"MT";"Centro-Oeste";" ";-17,83474;-53,28199
4100509;"ALTÔNIA";"PR";"Sul";" ";-23,87088;-53,89197
2200400;"ALTOS";"PI";"Nordeste";" ";-5,03655;-42,46095
3501152;"ALUMÍNIO";"SP";"Sudeste";" ";-23,53337;-47,25906
1300029;"ALVARÃES";"AM";"Norte";" ";-3,21658;-64,81354
3102209;"ALVARENGA";"MG";"Sudeste";" ";-19,41447;-41,72644
3501202;"ÁLVARES FLORENCE";"SP";"Sudeste";" ";-20,31988;-49,91119
3501301;"ÁLVARES MACHADO";"SP";"Sudeste";" ";-22,07778;-51,46880
3501400;"ÁLVARO DE CARVALHO";"SP";"Sudeste";" ";-22,07638;-49,72061
3501509;"ALVINLÂNDIA";"SP";"Sudeste";" ";-22,44501;-49,76303
3102308;"ALVINÓPOLIS";"MG";"Sudeste";" ";-20,11476;-43,06608
1700707;"ALVORADA";"TO";"Norte";" ";-12,47882;-49,12681
4300604;"ALVORADA";"RS";"Sul";" ";-29,99749;-51,07773
3102407;"ALVORADA DE MINAS";"MG";"Sudeste";" ";-18,73359;-43,36608
2200459;"ALVORADA DO GURGUÉIA";"PI";"Nordeste";" ";-8,44396;-43,86307
5200803;"ALVORADA DO NORTE";"GO";"Centro-Oeste";" ";-14,48284;-46,51564
4100806;"ALVORADA DO SUL";"PR";"Sul";" ";-22,78038;-51,22922
1100346;"ALVORADA D'OESTE";"RO";"Norte";" ";-11,34413;-62,27728
1400027;"AMAJARI";"RR";"Norte";" ";3,65212;-61,42059
5000609;"AMAMBAI";"MS";"Centro-Oeste";" ";-23,10058;-55,24383
1600105;"AMAPÁ";"AP";"Norte";" ";2,05392;-50,79321
2100550;"AMAPÁ DO MARANHÃO";"MA";"Nordeste";" ";-1,68092;-46,00918
4100905;"AMAPORÃ";"PR";"Sul";" ";-23,09737;-52,78679
2600906;"AMARAJI";"PE";"Nordeste";" ";-8,37849;-35,45077
4300638;"AMARAL FERRADOR";"RS";"Sul";" ";-30,87515;-52,25127
5200829;"AMARALINA";"GO";"Centro-Oeste";" ";-13,92548;-49,29538
2200509;"AMARANTE";"PI";"Nordeste";" ";-6,24661;-42,85369
2100600;"AMARANTE DO MARANHÃO";"MA";"Nordeste";" ";-5,55766;-46,75064
2901007;"AMARGOSA";"BA";"Nordeste";" ";-13,03445;-39,59812
1300060;"AMATURÁ";"AM";"Norte";" ";-3,36681;-68,20962
2901106;"AMÉLIA RODRIGUES";"BA";"Nordeste";" ";-12,40019;-38,75556
2901155;"AMÉRICA DOURADA";"BA";"Nordeste";" ";-11,44965;-41,43716
3501608;"AMERICANA";"SP";"Sudeste";" ";-22,74088;-47,33036
5200852;"AMERICANO DO BRASIL";"GO";"Centro-Oeste";" ";-16,25510;-49,98364
3501707;"AMÉRICO BRASILIENSE";"SP";"Sudeste";" ";-21,73004;-48,10661
3501806;"AMÉRICO DE CAMPOS";"SP";"Sudeste";" ";-20,29640;-49,72703
4300646;"AMETISTA DO SUL";"RS";"Sul";" ";-27,35643;-53,19218
2300754;"AMONTADA";"CE";"Nordeste";" ";-3,36488;-39,82882
5200902;"AMORINÓPOLIS";"GO";"Centro-Oeste";" ";-16,61791;-51,09717
2500734;"AMPARO";"PB";"Nordeste";" ";-7,56721;-37,06478
3501905;"AMPARO";"SP";"Sudeste";" ";-22,69939;-46,76509
2800100;"AMPARO DE SÃO FRANCISCO";"SE";"Nordeste";" ";-10,13397;-36,92748
3102506;"AMPARO DO SERRA";"MG";"Sudeste";" ";-20,51007;-42,80720
4101002;"AMPÉRE";"PR";"Sul";" ";-25,91707;-53,47326
2700201;"ANADIA";"AL";"Nordeste";" ";-9,68408;-36,30081
2901205;"ANAGÉ";"BA";"Nordeste";" ";-14,61133;-41,12711
4101051;"ANAHY";"PR";"Sul";" ";-24,64758;-53,13332
1500701;"ANAJÁS";"PA";"Norte";" ";-0,98445;-49,94500
2100709;"ANAJATUBA";"MA";"Nordeste";" ";-3,25756;-44,62067
3502002;"ANALÂNDIA";"SP";"Sudeste";" ";-22,12879;-47,66077
1300086;"ANAMÃ";"AM";"Norte";" ";-3,57637;-61,40590
1701002;"ANANÁS";"TO";"Norte";" ";-6,36282;-48,07977
1500800;"ANANINDEUA";"PA";"Norte";" ";-1,36871;-48,37207
5201108;"ANÁPOLIS";"GO";"Centro-Oeste";" ";-16,32883;-48,95722
1500859;"ANAPU";"PA";"Norte";" ";-3,47611;-51,20162
2100808;"ANAPURUS";"MA";"Nordeste";" ";-3,66704;-43,10579
5000708;"ANASTÁCIO";"MS";"Centro-Oeste";" ";-20,48236;-55,80457
